Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Jamal Murray,29467800.0,28756057.0,4714630.0,3773504.0,3721610.0,3619532.0,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,28103500.0,5475613.0,3856523.0,3354815.0,2907437.0,,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,28103500.0,8536314.0,6780928.0,5898777.0,5112372.0,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,28103500.0,5391291.0,3663811.0,3187003.0,2762225.0,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,28103500.0,10430718.0,8305437.0,7224841.0,6261691.0,,,,,,,,,,,,,,,,,,,,,
Al Horford,27000000.0,28982649.0,29700159.0,31191102.0,30762086.0,29918259.0,13662333.0,13679243.0,13962724.0,14207688.0,14444103.0,6787079.0,5426085.0,4999857.0,4884612.0,,,,,,,,,,,
Kyle Lowry,26984128.0,32144392.0,35318046.0,35257329.0,32059034.0,13527421.0,13662333.0,13679243.0,7225709.0,6807850.0,6921133.0,7167444.0,2563368.0,1444707.0,1418360.0,1354757.0,,,,,,,,,,
Jaylen Brown,26758928.0,26384874.0,6931623.0,5574280.0,5497564.0,5346713.0,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,26000000.0,29235562.0,29424345.0,29909401.0,30768264.0,29918259.0,10816014.0,10829401.0,11053823.0,3959505.0,3159647.0,3058791.0,2875309.0,,,,,,,,,,,,,
Draymond Green,24026712.0,23446389.0,19664825.0,18835786.0,18190338.0,17281770.0,16236397.0,1043319.0,1018697.0,1006377.0,,,,,,,,,,,,,,,,
Nikola Vucevic,24000000.0,27401777.0,29700159.0,13747123.0,13587295.0,13245599.0,12808437.0,3308960.0,2201782.0,2094213.0,1980527.0,,,,,,,,,,,,,,,
Buddy Hield,23073234.0,26276003.0,5156379.0,4133582.0,4076721.0,3964887.0,,,,,,,,,,,,,,,,,,,,
John Collins,23000000.0,4360362.0,2849687.0,2478881.0,2148367.0,,,,,,,,,,,,,,,,,,,,,
Malcolm Brogdon,21700000.0,21816030.0,21214399.0,1665775.0,1455904.0,986374.0,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr,21306816.0,19998027.0,21241052.0,18679915.0,18301255.0,2572019.0,1485232.0,1425650.0,1392502.0,,,,,,,,,,,,,,,,,
