Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Rudy Gobert,"$35,344,828","$35,344,828","$27,525,281","$29,009,293","$25,258,427","$26,792,118","$23,491,573","$25,328,750","$21,224,719","$23,541,757","$2,121,287","$2,391,295","$1,175,880","$1,338,772","$1,127,400","$1,285,164","$1,078,800","$1,255,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,"$35,328,700","$35,328,700","$33,722,850","$35,541,001","$31,742,000","$33,669,373","$20,099,189","$21,671,062","$18,868,626","$20,928,457","$17,638,063","$19,883,125","$16,407,500","$18,680,395","$7,459,924","$8,503,843","$5,915,880","$6,883,483","$5,530,080","$6,547,471","$5,144,280","$6,192,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemba Walker,"$34,967,442","$34,967,442","$34,379,100","$36,232,632","$32,742,000","$34,730,093","$12,000,000","$12,938,469","$12,000,000","$13,310,003","$12,000,000","$13,527,421","$12,000,000","$13,662,333","$3,452,183","$3,935,271","$2,709,720","$3,152,922","$2,532,960","$2,998,958","$2,356,320","$2,836,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Beal,"$33,724,200","$33,724,200","$28,751,774","$30,301,911","$27,093,018","$28,738,105","$25,434,262","$27,423,368","$23,775,506","$26,371,006","$22,116,750","$24,931,882","$5,694,673","$6,483,543","$4,505,280","$5,135,735","$4,319,280","$5,025,743","$4,133,280","$4,893,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,"$33,003,936","$33,003,936","$30,559,200","$32,206,784","$2,351,838","$2,494,641","$1,544,951","$1,665,775","$1,312,611","$1,455,904","$1,196,040","$1,348,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Simmons,"$33,003,936","$33,003,936","$30,559,200","$32,206,784","$8,113,929","$8,606,606","$6,434,520","$6,937,736","$6,168,840","$6,842,273","$5,903,160","$6,654,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,"$32,405,817","$32,405,817","$33,900,241","$35,727,955","$34,449,964","$36,541,765","$31,873,932","$34,366,658","$29,512,900","$32,734,734","$20,093,064","$22,650,611","$18,862,876","$21,475,908","$17,632,688","$20,100,153","$16,402,500","$19,085,298","$7,226,891","$8,556,451","$5,731,080","$6,898,359","$5,357,280","$6,677,914","$4,983,480","$6,277,401",,,,,,,,,,,,,,,,,,,,,,,,,,
Kristaps Porzingis,"$31,650,600","$31,650,600","$29,467,800","$31,056,542","$27,285,000","$28,941,744","$5,697,054","$6,142,596","$4,503,600","$4,995,244","$4,317,720","$4,867,301","$4,131,720","$4,704,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Booker,"$31,650,600","$31,650,600","$29,467,800","$31,056,542","$27,285,000","$28,941,744","$3,314,365","$3,573,567","$2,319,360","$2,572,557","$2,223,600","$2,506,631","$2,055,840","$2,340,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl-Anthony Towns,"$31,650,600","$31,650,600","$29,467,800","$31,056,542","$27,285,000","$28,941,744","$7,839,435","$8,452,524","$6,216,840","$6,895,513","$5,960,160","$6,718,799","$5,703,600","$6,493,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,"$31,579,390","$31,579,390","$29,542,010","$31,134,753","$27,504,630","$29,174,710","$25,467,250","$27,458,936","$6,100,266","$6,766,213","$4,826,160","$5,440,458","$4,626,960","$5,267,922","$4,427,640","$5,047,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,"$31,579,390","$31,579,390","$29,542,010","$31,134,753","$27,504,630","$29,174,710","$25,467,250","$27,458,936","$7,574,322","$8,401,187","$6,006,600","$6,771,150","$5,758,680","$6,556,417","$5,510,640","$6,281,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,"$31,258,256","$31,258,256","$31,258,256","$32,943,529","$28,942,830","$30,700,238","$24,119,025","$26,005,272","$22,642,350","$25,114,147","$21,165,675","$23,859,750","$19,689,000","$22,416,474","$15,719,063","$17,918,741","$14,693,906","$17,097,246","$13,668,750","$16,183,445","$4,609,701","$5,548,583","$3,638,280","$4,535,159","$3,401,040","$4,284,093","$3,163,680","$3,928,246",,,,,,,,,,,,,,,,,,,,,,,,
