Player,AVG SALARY
Santiago Aldama,1994520.0
Damian Jones,1738643.5
Wesley Matthews,9717370.307692308
Rodney McGruder,2707589.6666666665
Timothe Luwawu,1673662.8333333333
Moses Brown,1111900.3333333333
Wesley Iwundu,1612730.2
Jose Alvarado,1925406.0
PJ Dozier,826380.6
Damion Lee,825859.0
Killian Tillie,1187476.5
Tyrell Terry,1614412.5
Larry Sanders,4379106.2
Carsen Edwards,1587259.3333333333
Shake Milton,1314210.25
Mitchell Robinson,1702912.75
Jalen Brunson,1596175.0
Dennis Smith,4041102.2
Malik Monk,3726960.4
Semi Ojeleye,1654492.4
Frank Ntilikina,4362706.4
Tony Bradley,2196809.6
Didi Louzada,958284.0
Daniel Gafford,1445099.3333333333
Eric Paschall,1445099.3333333333
KZ Okpala,1445099.3333333333
Luguentz Dort,1182513.3333333333
Isaiah Roby,1657840.6666666667
Naz Reid,1445099.3333333333
Jaylen Nowell,1622483.3333333333
Terance Mann,1481054.0
Bruno Fernando,1622483.3333333333
Kevin Porter,1654191.0
Vlatko Cancar,1445099.3333333333
Dean Wade,1260070.6666666667
Cody Martin,1542332.0
Jalen McDaniels,1445099.3333333333
Nicolas Claxton,1445099.3333333333
Yuta Watanabe,677067.5
Chimezie Metu,1282430.0
Armoni Brooks,940862.0
Isaac Bonga,1515968.0
Sviatoslav Mykhailiuk,1647426.75
Keita Bates-Diop,1152366.0
Moritz Wagner,2083171.75
Thanasis Antetokounmpo,1272798.5
Isaiah Hartenstein,1447062.6666666667
Oshae Brissett,1054069.6666666667
Juan Toscano-Anderson,1022633.6666666666
Herb Jones,1700000.0
Gabriel Deck,2884773.0
Gabe Vincent,816650.3333333334
Max Strus,811854.0
Gary Payton II,660857.6666666666
Javonte Green,1407285.0
Matt Thomas,1407285.0
Robert Woodard,1599943.0
Lance Stephenson,4174500.9
Daniel Oturu,1275150.0
Deividas Sirvydis,1275150.0
Kevin Pangos,1569178.0
Bismack Biyombo,8920331.181818182
Vernon Carey,1470382.5
Anthony Gill,1232361.0
Tre Jones,1232361.0
Jahmi'us Ramsey,1285947.5
Elijah Hughes,1232361.0
CJ Elleby,1232361.0
Isaiah Joe,1232361.0
Paul Reed,1079974.5
Naji Marshall,1042699.5
Jordan Nwora,1232361.0
Xavier Tillman,1444034.5
Sam Merrill,1232361.0
Jae'Sean Tate,1520811.0
KJ Martin,1232361.0
Lamar Stevens,1285947.5
Nick Richards,1285947.5
Isaiah Todd,1500000.0
Omer Yurtseven,1489065.0
Saben Lee,1016882.5
JR Smith,5850984.833333333
Stanley Johnson,3355617.8571428573
Duane Washington Jr,1346676.0
Aaron Wiggins,1305761.0
Marquese Chriss,2679468.2
JT Thor,1250000.0
DeMarre Carroll,6955641.230769231
Jabari Parker,7749924.125
Alfonzo McKinnie,1568926.8
Zhaire Smith,2064550.25
Jason Preston,1062303.0
Isaiah Livers,1057260.0
Denzel Valentine,2787323.8333333335
Alize Johnson,1016439.5
Kyle Singler,2582534.4444444445
Kelan Martin,867266.6666666666
Miye Oni,1166312.6666666667
Jared Butler,925258.0
Dalano Banton,925258.0
Jock Landale,925258.0
Greg Brown,925258.0
Charles Bassey,925258.0
Vit Krejci,925258.0
Miles McBride,925258.0
Austin Reaves,925258.0
BJ Boston,925258.0
Luka Garza,925258.0
Marko Simonovic,925258.0
Ayo Dosunmu,925258.0
Daishen Nix,923078.0
Isaiah Thomas,3626137.6
Terry Taylor,895125.0
Mamadi Diakite,713479.0
Caleb Martin,1132229.3333333333
Brad Wanamaker,1405935.0
Luke Kornet,1480373.6
Wayne Selden,1015944.25
Gary Clark,1106936.25
Ryan Arcidiacono,1457295.0
Trendon Watford,768830.0
Patrick Patterson,4183291.9166666665
Devontae Cacok,427951.6666666667
Admiral Schofield,1128094.0
Ishmail Wainright,707893.0
Shaun Livingston,4136536.8235294116
Malik Fitts,347859.5
Sam Hauser,619498.0
Greg Monroe,8685833.1
Amir Coffey,422674.6666666667
Joe Wieskamp,563663.0
Keifer Sykes,558345.0
Haywood Highsmith,315496.0
Nik Stauskas,2809956.6666666665
Davon Reed,749376.6666666666
Wenyen Gabriel,961073.5
Skylar Mays,535909.5
Georgios Kalaitzakis,499852.0
RJ Nembhard,491876.0
Chris Silva,858247.0
Trent Forrest,479639.0
Kessler Edwards,463211.0
Cassius Winston,467978.5
Joel Ayayi,462629.0
Justin Champagnie,462629.0
David Johnson,462629.0
Neemias Queta,462629.0
Keljin Blevins,467978.5
Ignas Brazdeikis,1064238.3333333333
Jericho Sims,462629.0
Nathan Knight,506907.0
McKinley Wright,462629.0
Sandro Mamukelashvili,462629.0
Yves Pons,462629.0
Jay Scrubb,467978.5
Chris Chiozza,292118.25
Sean Chris Smith,462629.0
Jamorko Pickett,462629.0
Markus Howard,513391.5
Tyler Cook,425846.0
Arnoldas Kulboka,462629.0
Scottie Lewis,462629.0
David Duke,462629.0
Brodric Thomas,448527.0
Sharife Cooper,462629.0
Justin Anderson,1399810.1666666667
Theo Pinson,725727.75
Charlie Brown,248379.33333333334
Tim Frazier,1259180.5714285714
James Ennis,1986123.125
Langston Galloway,4050674.25
Kyle Guy,344788.3333333333
Sam Dekker,1826098.6
Quinndary Weatherspoon,301406.0
Brandon Goodwin,688272.25
Malcolm Hill,324373.0
Louis King,150890.0
DJ Wilson,2668700.0
Shaquille Harrison,935316.4
Justin Jackson,2965004.6
Jeff Dowtin,305761.0
Paul Watson,637047.3333333334
Trevelin Queen,303102.0
Myles Powell,300443.0
Jontay Porter,837462.6666666666
Mason Jones,371278.5
Eugene Omoruyi,281831.0
Brandon Knight,9115933.7
Justin Robinson,237335.0
Ja'Vonte Smart,265878.0
Mychal Mulder,685636.0
Tyler Johnson,4677887.125
Zylan Cheatham,621591.3333333334
Cassius Stanley,376400.5
Devon Dotson,356309.5
Marcus Garrett,236632.0
Lindell Wigginton,233973.0
Jay Huff,225997.0
Olivier Sarr,223339.0
Aaron Henry,223338.0
Freddie Gillespie,301871.0
JaQuori McLaughlin,220679.0
Rayjon Tucker,521833.0
Petr Cornelie,218021.0
Tacko Fall,330533.0
Juwan Morgan,867407.3333333334
Damyean Dotson,1347279.6
Xavier Moon,202069.0
Tyrone Wallace,579785.0
Tremont Waters,342313.0
Jaylen Hoard,137478.0
Norvel Pelle,544311.3333333334
Reggie Perry,351896.0
Devin Cannady,185578.0
Brandon Williams,239173.33333333334
DeJon Jarreau,172821.0
Moses Wright,172821.0
Matt Mooney,127777.5
Dakota Mathias,130965.5
Daulton Hommes,167504.0
Grant Riller,317757.0
Lindy Waters III,159527.0
Anthony Tolliver,2789163.769230769
Darren Collison,4463496.545454546
Ersan Ilyasova,5311068.4
Joe Johnson,14739666.666666666
CJ Miles,3926544.3333333335
Chaundee Brown,151552.0
Xavier Sneed,146233.0
Mario Chalmers,2904313.7
Anthony Lamb,181517.0
Braxton Key,127622.0
Troy Williams,622769.0
Feron Hunt,116987.0
Mac McClung,111670.0
Matt Ryan,111669.0
Emmanuel Mudiay,2920242.6666666665
Paris Bass,106352.0
Hassani Gravett,106352.0
Carlik Jones,106352.0
Cheick Diallo,1123589.8
Jordan Bell,676599.0
DJ Stewart,101034.0
Nate Hinton,284770.5
Jaylen Morris,132998.0
BJ Johnson,111184.33333333333
Scotty Hopson,457796.75
Justin James,882869.0
DaQuan Jeffries,857475.3333333334
Derrick Walton,89416.66666666667
Demetrius Jackson,472562.0
Emanuel Terry,93863.0
Jemerrio Jones,70913.5
George King,84434.5
Malik Newman,77781.0
Chris Clemons,760984.0
Cameron Oliver,154573.33333333334
Jared Harper,239342.66666666666
Gabriel Lundberg,79764.0
Jaime Echenique,53176.0
Craig Sword,53176.0
Jordan Goodwin,53176.0
Jordan Schakel,53176.0
Ade Murkey,53176.0
Jarron Cumberland,53176.0
Cameron McGriff,53176.0
MJ Walker,53176.0
Aleem Ford,53176.0
Rob Edwards,53176.0
Tyler Hall,39761.5
Javin DeLaurier,53176.0
Aric Holman,53176.0
Jon Teske,53176.0
Shaq Buchanan,53176.0
Ahmad Caver,53176.0
Jaysean Paige,53176.0
Micah Potter,53176.0
Trayvon Palmer,53176.0
Tre Scott,53176.0
Justin Tillman,53176.0
Malik Ellison,53176.0
Anthony Barber,54770.0
Luca Vildoza,1865744.5
Zavier Simpson,37223.0
Mfiondu Kabengele,1559907.0
Melvin Frazier,882764.3333333334
JJ Redick,8935183.733333332
Dion Waiters,7060071.222222222
Dante Exum,7161519.142857143
Meyers Leonard,7324704.444444444
Cristiano Felicio,6000618.5
Aron Baynes,4650467.333333333
Darius Miller,3185180.8571428573
Mike Scott,3301927.222222222
TJ Leaf,3125019.0
Patrick McCaw,2313317.6
Terrance Ferguson,2761808.0
Nicolo Melli,4229617.5
Jerome Robinson,3670692.3333333335
Jeff Teague,9181401.0
Marko Guduric,2841326.5
Vincent Poirier,2709182.0
Jared Dudley,5049868.214285715
Jose Juan Barea,3567004.2
Matthew Dellavedova,5920373.625
Anderson Varejao,7272457.857142857
Bruno Caboclo,1823454.5714285714
Jacob Evans,1981353.0
Spencer Hawes,4424400.307692308
Dzanan Musa,1966890.0
Omari Spellman,1952640.3333333333
Quinn Cook,1451017.2
Mario Hezonja,4020896.8333333335
JaKarr Sampson,973262.6666666666
Rodions Kurucs,1833569.3333333333
Thon Maker,2991033.8
Dwayne Bacon,1469211.25
Harry Giles,2221336.75
Josh Gray,631517.6666666666
Jalen Lecque,1276338.5
Alen Smailagic,1276338.5
Sindarius Thornwell,971858.75
Glenn Robinson III,1760665.857142857
Khyri Thomas,1175140.0
Guerschon Yabusele,2154717.3333333335
Iman Shumpert,6046798.444444444
Cole Aldrich,3129064.5
Jarrell Brantley,311256.0
Rondae Hollis-Jefferson,1758963.3333333333
Dakari Johnson,628059.3333333334
Jalen Harris,473328.0
Ty-Shon Alexander,473328.0
Josh Hall,473328.0
Jaylen Adams,300659.6666666667
Sean McDermott,473328.0
Kostas Antetokounmpo,213672.66666666666
Nico Mannion,473328.0
Tyler Bey,473328.0
Marques Bolden,473328.0
Adam Mokoka,278863.5
Nate Darling,473328.0
Yogi Ferrell,1792256.0
Noah Vonleh,2539089.4285714286
Andre Roberson,4916775.375
Donta Hall,252114.5
Brian Bowen,239977.5
Anzejs Pasecniks,452948.0
AJ Hammons,852533.3333333334
Karim Mane,363133.0
Will Magnay,359891.0
Greg Whittington,350165.0
Raymond Spalding,497458.0
Chasson Randle,702046.0
Justin Patton,1540887.75
Mike James,3376302.076923077
Axel Toupane,459925.3333333333
Henry Ellenson,1611408.75
Ashton Hagans,175066.0
John Henson,6487351.777777778
Jordan Bone,113523.0
Amida Brimah,129690.0
James Nunnally,298567.6666666667
Jeremiah Martin,73001.0
Jerian Grant,1441651.0
Cam Reynolds,78988.66666666667
Andrew White,56015.0
Elijah Bryant,25937.0
Caleb Homesley,21078.0
Chandler Parsons,15620629.666666666
Evan Turner,10985301.6
Ian Mahinmi,7216645.230769231
Courtney Lee,7050919.333333333
Marco Belinelli,4312106.076923077
Kyle Korver,5559948.411764706
Tyson Chandler,12176525.263157895
Thabo Sefolosha,3937665.0
Wilson Chandler,6969323.083333333
Vince Carter,11071377.636363637
Skal Labissiere,1735675.0
Ante Zizic,2116876.0
Kyle O'Quinn,2902406.0
Caleb Swanigan,1886213.6666666667
Shabazz Napier,1846419.0
Treveon Graham,1208508.0
Malcolm Miller,754513.6666666666
Nigel Williams-Goss,1591079.0
Elie Okobo,1419101.0
Ryan Broekhoff,1203459.5
Deonte Burton,1020992.5
Jordan McRae,649329.5
Dewan Hernandez,952855.0
Marvin Williams,8627553.666666666
Michael Kidd-Gilchrist,8461918.0
Troy Daniels,1961600.4285714286
Ky Bowman,371452.0
Jamal Crawford,7686822.35
Tyler Zeller,2509837.625
Dragan Bender,3751078.25
Corey Brewer,4511288.285714285
Joe Chealey,128282.5
Johnathan Williams,154118.0
JP Macura,97959.5
Sheldon Mac,721888.6666666666
Jonah Bolden,958734.0
Justin Wright-Foreman,84399.0
Tariq Owens,84399.0
Marial Shayok,84399.0
Vic Law,84399.0
Kevin Hervey,84399.0
Kenny Wooten,84399.0
Frank Mason,961369.0
Kyle Alexander,84399.0
Johnathan Motley,84457.66666666667
Naz Long,117698.66666666667
William Howard,84399.0
Michael Frazier,244435.0
Antonius Cleveland,255223.0
Josh Reaves,84399.0
Kobi Simmons,84093.33333333333
Chris Bosh,17876102.9375
Allen Crabbe,10873306.333333334
Pau Gasol,14927554.722222222
Kenneth Faried,7948611.25
Marcin Gortat,9121038.416666666
Jeremy Lin,8075216.777777778
Nikola Mirotic,9243935.6
Tyreke Evans,8791085.4
Miles Plumlee,6773217.714285715
Zach Randolph,13450542.111111112
Omer Asik,8771195.444444444
Mirza Teletovic,7474414.571428572
Kosta Koufos,4936565.636363637
Jerryd Bayless,5063702.909090909
Darrell Arthur,4206130.090909091
Lance Thomas,3411967.0
Milos Teodosic,6723848.5
Wesley Johnson,4162223.111111111
Jonathon Simmons,3760195.5
Deron Williams,12907946.857142856
Jason Smith,3549070.4166666665
Josh Smith,9241496.133333333
Alexis Ajinca,3205991.6666666665
Dirk Nowitzki,15365211.904761905
Tony Parker,11316631.555555556
Ron Baker,3492779.6666666665
Luc Mbah a Moute,3263522.727272727
Al Jefferson,10817972.933333334
Jodie Meeks,3532746.9
Alex Abrines,5687421.666666667
Nenê,9532366.470588235
Michael Beasley,4394382.090909091
Allonzo Trier,3646491.0
Ekpe Udoh,3635871.714285714
Shelvin Mack,2519046.0
Manu Ginobili,9434208.352941176
Dante Cunningham,2175249.8
Jarell Martin,1772101.25
Georgios Papagiannis,2609663.6666666665
Amir Johnson,6633596.642857143
Raymond Felton,4966236.571428572
Dwyane Wade,14928701.5625
Zaza Pachulia,4585967.125
Jose Calderon,7381466.0
Devin Harris,6197687.933333334
Channing Frye,5879942.428571428
Omri Casspi,2112278.7
Quincy Pondexter,2766928.888888889
Jonas Jerebko,4073720.5
Salah Mejri,1369522.75
Tyler Lydon,1886554.5
Ian Clark,1228141.5
Deyonta Davis,1625704.3333333333
MarShon Brooks,1223103.2
Malachi Richardson,1661352.0
Wade Baldwin,2062746.0
Gerald Green,2135674.3333333335
Jawun Evans,1236986.0
Tyler Dorsey,1195340.5
Ivan Rabb,1269868.0
Rade Zagorac,1269868.0
Zhou Qi,1195340.5
Ike Anigbogu,1254310.0
Antonio Blakeney,770297.5
Jabari Bird,770297.5
Daniel Hamilton,770297.5
Justin Hamilton,1329516.6
Jason Thompson,3777987.4545454546
Isaiah Briscoe,904036.0
Lorenzo Brown,411669.75
Isaiah Canaan,976068.3333333334
Isaiah Whitehead,1149989.3333333333
Kalin Lucas,447951.5
John Jenkins,1220191.3333333333
Andrew Bogut,10179625.214285715
Yante Maten,415109.0
Andrew Harrison,967803.6666666666
Eric Moreland,951123.75
Nick Young,3837646.75
Okaro White,746066.3333333334
Ben Moore,162575.5
Quincy Acy,1333666.0
Jimmer Fredette,1803911.0
Terrence Jones,1636401.8333333333
Dairis Bertans,209409.0
Walter Lemon Jr,146126.0
Donatas Motiejunas,1150145.0
Justin Bibbs,99366.0
Devin Robinson,84487.0
Tyler Cavanaugh,84487.0
Jordan Loyd,83291.0
Amile Jefferson,84487.0
Troy Caupain,83291.0
Donte Grantham,83291.0
Tyler Davis,83291.0
Kadeem Allen,84487.0
Isaiah Hicks,84487.0
Trevon Bluiett,83291.0
CJ Williams,84487.0
Jared Terrell,83291.0
Bonzie Colson,83291.0
Julian Washburn,83291.0
Jarnell Stokes,448209.25
DJ Stephens,58420.5
Angel Delgado,83291.0
Trevon Duval,83291.0
Vincent Edwards,83291.0
Marcus Derrickson,83291.0
Zach Lofton,83291.0
Keenan Evans,83291.0
Archie Goodwin,1312166.4
DeVaughn Akoon-Purcell,83291.0
Thomas Welsh,83291.0
Daryl Macon,83291.0
Deng Adel,83291.0
Jalen Jones,65718.66666666667
Jaron Blossomgame,83291.0
Billy Preston,83291.0
John Holland,59841.0
Brandon Sampson,83291.0
Tyler Ulis,858152.6666666666
Rawle Alkins,83291.0
Alan Williams,1963592.75
RJ Hunter,827210.0
Alex Poythress,343363.6666666667
Charles Cooke,83940.5
Scott Machado,174684.5
Andre Ingram,66653.5
Jonathan Gibson,307083.0
Billy Garrett,72638.0
Mitch Creek,61290.0
Tarik Phillip,51074.0
Cody Demps,51074.0
Richard Solomon,51074.0
